,20:31:23,c,u,12666,1,292.34,127.06,318.75,23.49,11.7,103.06,18.35,0.18,8.63,26258672,7483371,42519,19808,54286,10787
13/07/17,,,,,,,,,,,,,,,,,,,,
13/07/17,20:31:23,c,u,12666,2,267.61,123.16,294.59,24.71,11.5,101.45,16.73,0.01,0.53,1625085,572434,52039,48777,54496,1633
13/07/17,20:31:23,c,u,12666,3,273.33,134.4,304.58,26.18,12.17,101.86,17.15,0.5,24.2,73580522,23445947,47365,19811,55608,6900.6
