  Date_obs   Time_obs   Obs_type   Fea_type    NOAA   id    X_arc    Y_arc    r_arc theta_deg    b_deg    l_deg  lcm_deg  A_deg2   A_MSH          A_km2        P_Total         P_Mean          P_Min          P_Max          P_Std
2013-07-04   16:08:10  continuum      umbra   11782   21   476.33  -300.11   562.99    -32.21   -15.69    81.17    31.48    0.01    0.59     1805337.92      607065.43       60706.54       57102.33       62385.45        1598.22
2013-07-04   16:08:10  continuum      umbra   11782   22   467.35  -299.45   555.06    -32.65   -15.63     80.5    30.81       0    0.24      716151.86      241905.62        60476.4        58554.1       62854.47        1571.49
2013-07-04   16:08:10  continuum      umbra   11782   23    473.9  -298.45   560.05     -32.2   -15.58    80.98    31.28       0    0.24      719565.16      248106.22       62026.56       60841.66       62796.59         727.92
2013-07-04   16:08:10  continuum      umbra   11782   24   418.87  -296.74   513.33    -35.32   -15.35    76.98    27.28    0.01    0.45     1376386.59      488112.14       61014.02       58785.38       62799.32        1313.14
2013-07-04   16:08:10  continuum      umbra   11782   25   382.37  -291.89   481.05    -37.36   -14.98    74.38    24.69    0.01    0.55     1673264.05       579697.6       57969.76        55905.8       60204.41        1170.28
2013-07-04   16:08:10  continuum      umbra   11782   26   421.46  -288.36   510.66    -34.38   -14.82    77.08    27.39       0    0.23      684866.75      233631.14       58407.78       57208.99       59669.77        1125.08
2013-07-04   16:08:10  continuum      umbra   11782   27   483.09  -288.11   562.48    -30.81   -14.94    81.54    31.85    0.01    0.41     1258307.74      420779.81        60111.4       59655.73       60547.41         321.65
2013-07-04   16:08:10  continuum      umbra   11782   28   486.78  -282.69   562.91    -30.15    -14.6    81.76    32.07    0.03    1.59     4847686.34     1649904.55       61107.58       58779.62        62954.3        1026.99
2013-07-04   16:08:10  continuum      umbra   11782   29   387.99  -282.27   479.81    -36.04   -14.38    74.69       25    0.01    0.38     1166883.31      427304.79       61043.54       59068.15       63046.99        1302.93
2013-07-04   16:08:10  continuum      umbra   11782   30   486.76  -277.97   560.54    -29.73    -14.3    81.71    32.02    0.01    0.59     1788549.09      578926.36       57892.64       55157.78        59898.2        1378.45
2013-07-04   16:08:10  continuum      umbra   11782   31   402.16  -275.33   487.38     -34.4   -13.96    75.62    25.93    0.02    1.16     3514369.61     1271937.04       60568.43       57093.58       63510.43        1829.75
2013-07-04   16:08:10  continuum      umbra   11782   32   484.45  -275.12   557.12    -29.59   -14.11    81.51    31.82    0.01     0.7     2137027.14      728146.37       60678.86       59688.98        62129.2         811.99
2013-07-04   16:08:10  continuum      umbra   11782   33   386.25  -274.04   473.59    -35.36   -13.85    74.51    24.82    0.02    1.03     3145128.07     1167568.05       61450.95       58121.87       65987.32        1876.87
2013-07-04   16:08:10  continuum      umbra   11782   34   403.81  -271.97   486.86    -33.96   -13.75    75.71    26.02    0.01    0.55     1671261.48      586314.68       58631.47       56670.92       59579.27         813.94
2013-07-04   16:08:10  continuum      umbra   11782   35   406.86  -270.11   488.36    -33.58   -13.64    75.91    26.22    0.03    1.37     4180993.27     1510056.29       60402.25       58554.42       62771.11         994.51
2013-07-04   16:08:10  continuum      umbra   11782   36   379.35  -270.46   465.89    -35.49   -13.61    74.01    24.32    0.01    0.38     1151047.62       421846.5       60263.79       59126.11       62637.93        1234.07
2013-07-04   16:08:10  continuum      umbra   11782   37   384.39  -270.66   470.12    -35.15   -13.63    74.36    24.67    0.01    0.27      824773.01      300966.63       60193.33        57466.1        62359.1        1583.75
2013-07-04   16:08:10  continuum      umbra   11782   38   494.47  -269.31   563.05    -28.57   -13.77     82.2     32.5    0.01    0.65     1967559.23      650414.73       59128.61       56512.03       60233.53         1030.9
2013-07-04   16:08:10  continuum      umbra   11782   39   385.15  -268.19   469.32    -34.85   -13.48    74.39     24.7       0    0.22      658992.94      226462.67       56615.67       55373.69       57701.39         999.15
2013-07-04   16:08:10  continuum      umbra   11782   40   408.26  -265.75   487.14    -33.06   -13.36    75.97    26.28       0    0.16      500645.51       179016.4       59672.13       58883.88       60298.65         588.79
2013-07-04   16:08:10  continuum      umbra   11782   41   469.37   -263.6   538.32    -29.32   -13.35     80.3     30.6    0.04    2.18     6622822.84     2269332.32       59719.27       56070.11       62962.46        1590.94
2013-07-04   16:08:10  continuum      umbra   11782   42   450.51  -264.23   522.28    -30.39   -13.35    78.94    29.25    0.02    0.96     2920209.06     1006437.84       59202.23          54945       62969.29        2032.93
2013-07-04   16:08:10  continuum      umbra   11782   43   498.53  -263.73   563.99    -27.88   -13.42    82.44    32.75       0    0.18      536291.77      179152.06       59717.35       59384.89        59950.1         241.28
2013-07-04   16:08:10  continuum      umbra   11782   44   428.77   -260.5    501.7    -31.28   -13.07    77.37    27.68       0    0.22       674445.2      239651.05       59912.76        58803.3       61240.43        1113.18
2013-07-04   16:08:10  continuum      umbra   11782   45    -9999    -9999    -9999     -9999    -9999    -9999    -9999       0       0              0              0          -9999          -9999          -9999          -9999
2013-07-04   16:08:10  continuum   penumbra   11782    1   471.89  -317.86   568.96    -33.96   -16.82    81.05    31.35       0    0.12      365510.21      117302.53       58651.27       58424.87       58877.66         226.39
2013-07-04   16:08:10  continuum   penumbra   11782    2   436.33   -316.1    538.8    -35.92   -16.63    78.42    28.72       0    0.23      708717.85      232358.84       58089.71       57863.66       58198.74            135
2013-07-04   16:08:10  continuum   penumbra   11782    3   475.17  -314.08   569.59    -33.46   -16.59    81.25    31.55       0    0.12      365277.82      116457.55       58228.77       58197.74        58259.8          31.03
2013-07-04   16:08:10  continuum   penumbra   11782    4   477.43   -310.3   569.41    -33.02   -16.35    81.37    31.68       0    0.12      364740.18       115885.3       57942.65       57779.31       58105.99         163.34
2013-07-04   16:08:10  continuum   penumbra   11782    5   382.37  -308.03   491.01    -38.85   -16.01    74.51    24.82       0    0.11      338968.32      117644.36       58822.18       58621.56        59022.8         200.62
2013-07-04   16:08:10  continuum   penumbra   11782    6   454.49  -299.96   544.55    -33.42   -15.63    79.57    29.87       0    0.12      354434.29      117994.61       58997.31       58888.25       59106.37         109.06
2013-07-04   16:08:10  continuum   penumbra   11782    7   469.37  -300.21   557.16     -32.6   -15.68    80.66    30.97       0    0.12      358927.06      118758.95       59379.47        59361.1       59397.85          18.37
2013-07-04   16:08:10  continuum   penumbra   11782    8   419.44  -296.18   513.47    -35.23   -15.32    77.01    27.32       0    0.11       344076.4      117882.35       58941.17       58785.38       59096.97          155.8
2013-07-04   16:08:10  continuum   penumbra   11782    9   382.27  -291.54   480.76    -37.33   -14.96    74.37    24.68    0.01    0.28      836354.24       292291.2       58458.24       57892.74       58876.58         403.64
2013-07-04   16:08:10  continuum   penumbra   11782   10   486.13   -277.9   559.96    -29.75   -14.29    81.66    31.97       0    0.24      714974.96       235484.2       58871.05       58587.97        59249.8         259.18
2013-07-04   16:08:10  continuum   penumbra   11782   11   387.67  -273.48   474.43     -35.2   -13.82    74.61    24.91       0    0.11      331221.89      117206.65       58603.33       58254.46       58952.19         348.87
2013-07-04   16:08:10  continuum   penumbra   11782   12   403.98   -271.8    486.9    -33.93   -13.74    75.72    26.03    0.01    0.33      1002746.3      352742.54       58790.42       57983.15       59154.17         410.58
2013-07-04   16:08:10  continuum   penumbra   11782   13   406.98  -271.26    489.1    -33.68   -13.71    75.93    26.23    0.01    0.28      836945.73      294981.73       58996.35       58554.42       59218.84         242.87
2013-07-04   16:08:10  continuum   penumbra   11782   14   494.83   -269.2   563.32    -28.55   -13.76    82.22    32.53       0    0.24      715650.09      234622.63       58655.66        58411.6       58964.52         213.42
2013-07-04   16:08:10  continuum   penumbra   11782   15   470.88  -265.92   540.78    -29.45    -13.5    80.43    30.73       0    0.11      349600.39      117754.65       58877.33       58841.56       58913.09          35.76
2013-07-04   16:08:10  continuum   penumbra   11782   16   450.58   -263.9   522.18    -30.36   -13.33    78.95    29.25       0    0.23      686981.34      234175.63       58543.91       58351.53       58897.75         211.36
2013-07-04   16:08:10  continuum   penumbra   11782   17   429.02  -260.37   501.85    -31.25   -13.06    77.39    27.69       0    0.11       337253.1      117622.25       58811.13        58803.3       58818.95           7.82
2013-07-04   16:08:10  continuum      umbra   11781    1   886.28    356.8   955.41     21.93    -9999    -9999    -9999    16.7  809.46  2461611786.14    10494805.03       61373.13       59683.04        63077.5         744.17
2013-07-04   16:08:10  continuum      umbra   11781    2   886.75   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.72  2368139382.05      124688.39       62344.19       62307.27       62381.12          36.92
2013-07-04   16:08:10  continuum      umbra   11781    3   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.07  778.93  2368763031.98      186133.28       62044.43       61718.94       62359.48          261.6
2013-07-04   16:08:10  continuum      umbra   11781    4   886.73   357.03   955.91     21.93    -9999    -9999    -9999    16.1  780.51  2373573745.73      678900.78       61718.25       60725.61       62287.26         438.19
2013-07-04   16:08:10  continuum      umbra   11781    5   886.76   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.76   2368264360.1      124415.48       62207.74       62199.25       62216.23           8.49
2013-07-04   16:08:10  continuum      umbra   11781    6   886.64   356.99   955.81     21.93    -9999    -9999    -9999   16.35  792.76  2410830338.41     3809928.29       61450.46        59301.5       62424.36         725.21
2013-07-04   16:08:10  continuum      umbra   11781    7   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.07  778.93  2368767193.21      186158.53       62052.84       61882.94       62267.83         160.33
2013-07-04   16:08:10  continuum      umbra   11781    8   886.76   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.78  2368313639.78      123833.03       61916.51       61872.58       61960.44          43.93
2013-07-04   16:08:10  continuum      umbra   11781    9   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.06  778.67  2367981857.44      124332.12       62166.06       62036.16       62295.96          129.9
2013-07-04   16:08:10  continuum      umbra   11781   10   885.61   356.96   954.84     21.95    -9999    -9999    -9999    17.2  834.05   2536383784.1    19358914.04       59749.73       38664.69       63098.76        4737.08
2013-07-04   16:08:10  continuum      umbra   11781   11   886.76   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.79   2368338597.9      124505.96       62252.98       62100.81       62405.15         152.17
2013-07-04   16:08:10  continuum      umbra   11781   12   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.07  779.22  2369633832.91      248204.66       62051.16       61567.71       62297.92          289.1
2013-07-04   16:08:10  continuum      umbra   11781   13   886.73   357.04   955.91     21.93    -9999    -9999    -9999   16.13  781.84  2377610761.42      927986.47       61865.76       61196.27       62417.67         390.94
2013-07-04   16:08:10  continuum      umbra   11781   14   886.72   357.04   955.91     21.93    -9999    -9999    -9999   16.14  782.39  2379287024.51     1046914.55       61583.21       60526.52       62237.66         543.57
2013-07-04   16:08:10  continuum      umbra   11781   15   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.06  778.66  2367958967.99      124406.04       62203.02       62034.77       62371.27         168.25
2013-07-04   16:08:10  continuum      umbra   11781   16   886.04    357.2   955.33     21.96    -9999    -9999    -9999   17.12  830.07  2524299745.29    14984866.69       61413.39       58527.85       62609.65          755.6
2013-07-04   16:08:10  continuum      umbra   11781   17   886.75   357.05   955.93     21.93    -9999    -9999    -9999   16.08  779.51   2370537778.6      310349.42       62069.88       61589.14       62316.47         265.84
